send_time,recv_time,delay
1.10562,1.10569,6.4364e-05
1.1112,1.11126,6.3364e-05
1.1168,1.11686,6.3364e-05
1.1224,1.12246,6.3364e-05
1.128,1.12806,6.3364e-05
1.1336,1.13366,6.3364e-05
1.1392,1.13926,6.3364e-05
1.1448,1.14486,6.3364e-05
1.1504,1.15046,6.3364e-05
1.156,1.15606,6.3364e-05
1.1616,1.16166,6.3364e-05
1.1672,1.16726,6.3364e-05
1.1728,1.17286,6.3364e-05
1.1784,1.17846,6.3364e-05
1.184,1.18406,6.3364e-05
1.1896,1.18966,6.3364e-05
1.1952,1.19526,6.3364e-05
1.2008,1.20086,6.3364e-05
1.2064,1.20646,6.3364e-05
1.212,1.21206,6.3364e-05
1.2176,1.21766,6.3364e-05
1.2232,1.22326,6.3364e-05
1.2288,1.22886,6.3364e-05
1.2344,1.23446,6.3364e-05
1.24,1.24006,6.3364e-05
1.2456,1.24566,6.3364e-05
1.2512,1.25126,6.3364e-05
1.2568,1.25686,6.3364e-05
1.2624,1.26246,6.3364e-05
1.268,1.26806,6.3364e-05
1.2736,1.27366,6.3364e-05
1.2792,1.27926,6.3364e-05
1.2848,1.28486,6.3364e-05
1.2904,1.29046,6.3364e-05
1.296,1.29606,6.3364e-05
1.3016,1.30166,6.3364e-05
1.3072,1.30726,6.3364e-05
1.3128,1.31286,6.3364e-05
1.3184,1.31846,6.3364e-05
1.324,1.32406,6.3364e-05
1.3296,1.32966,6.3364e-05
1.3352,1.33526,6.3364e-05
1.3408,1.34086,6.3364e-05
1.3464,1.34646,6.3364e-05
1.352,1.35206,6.3364e-05
1.3576,1.35766,6.3364e-05
1.3632,1.36326,6.3364e-05
1.3688,1.36886,6.3364e-05
1.3744,1.37446,6.3364e-05
1.38,1.38006,6.3364e-05
1.3856,1.38566,6.3364e-05
1.3912,1.39126,6.3364e-05
1.3968,1.39686,6.3364e-05
1.4024,1.40246,6.3364e-05
1.408,1.40806,6.3364e-05
1.4136,1.41366,6.3364e-05
1.4192,1.41926,6.3364e-05
1.4248,1.42486,6.3364e-05
1.4304,1.43046,6.3364e-05
1.436,1.43606,6.3364e-05
1.4416,1.44166,6.3364e-05
1.4472,1.44726,6.3364e-05
1.4528,1.45286,6.3364e-05
1.4584,1.45846,6.3364e-05
1.464,1.46406,6.3364e-05
1.4696,1.46966,6.3364e-05
1.4752,1.47526,6.3364e-05
1.4808,1.48086,6.3364e-05
1.4864,1.48646,6.3364e-05
1.492,1.49206,6.3364e-05
1.4976,1.49766,6.3364e-05
1.5032,1.50326,6.3364e-05
1.5088,1.50886,6.3364e-05
1.5144,1.51446,6.3364e-05
1.52,1.52006,6.3364e-05
1.5256,1.52566,6.3364e-05
1.5312,1.53126,6.3364e-05
1.5368,1.53686,6.3364e-05
1.5424,1.54246,6.3364e-05
1.548,1.54806,6.3364e-05
1.5536,1.55366,6.3364e-05
1.5592,1.55926,6.3364e-05
1.5648,1.56486,6.3364e-05
1.5704,1.57046,6.3364e-05
1.576,1.57606,6.3364e-05
1.5816,1.58166,6.3364e-05
1.5872,1.58726,6.3364e-05
1.5928,1.59286,6.3364e-05
1.5984,1.59846,6.3364e-05
1.604,1.60406,6.3364e-05
1.6096,1.60966,6.3364e-05
1.6152,1.61526,6.3364e-05
1.6208,1.62086,6.3364e-05
1.6264,1.62646,6.3364e-05
1.632,1.63206,6.3364e-05
1.6376,1.63766,6.3364e-05
1.6432,1.64326,6.3364e-05
1.6488,1.64886,6.3364e-05
1.6544,1.65446,6.3364e-05
1.66,1.66006,6.3364e-05
1.6656,1.66566,6.3364e-05
1.6712,1.67126,6.3364e-05
1.6768,1.67686,6.3364e-05
1.6824,1.68246,6.3364e-05
1.688,1.68806,6.3364e-05
1.6936,1.69366,6.3364e-05
1.6992,1.69926,6.3364e-05
1.7048,1.70486,6.3364e-05
1.7104,1.71046,6.3364e-05
1.716,1.71606,6.3364e-05
1.7216,1.72166,6.3364e-05
1.7272,1.72726,6.3364e-05
1.7328,1.73286,6.3364e-05
1.7384,1.73846,6.3364e-05
1.744,1.74406,6.3364e-05
1.7496,1.74966,6.3364e-05
1.7552,1.75526,6.3364e-05
1.7608,1.76086,6.3364e-05
1.7664,1.76646,6.3364e-05
1.772,1.77206,6.3364e-05
1.7776,1.77766,6.3364e-05
1.7832,1.78326,6.3364e-05
1.7888,1.78886,6.3364e-05
1.7944,1.79446,6.3364e-05
1.8,1.80006,6.3364e-05
1.8056,1.80566,6.3364e-05
1.8112,1.81126,6.3364e-05
1.8168,1.81686,6.3364e-05
1.8224,1.82246,6.3364e-05
1.828,1.82806,6.3364e-05
1.8336,1.83366,6.3364e-05
1.8392,1.83926,6.3364e-05
1.8448,1.84486,6.3364e-05
1.8504,1.85046,6.3364e-05
1.856,1.85606,6.3364e-05
1.8616,1.86166,6.3364e-05
1.8672,1.86726,6.3364e-05
1.8728,1.87286,6.3364e-05
1.8784,1.87846,6.3364e-05
1.884,1.88406,6.3364e-05
1.8896,1.88966,6.3364e-05
1.8952,1.89526,6.3364e-05
1.9008,1.90086,6.3364e-05
1.9064,1.90646,6.3364e-05
1.912,1.91206,6.3364e-05
1.9176,1.91766,6.3364e-05
1.9232,1.92326,6.3364e-05
1.9288,1.92886,6.3364e-05
1.9344,1.93446,6.3364e-05
1.94,1.94006,6.3364e-05
1.9456,1.94566,6.3364e-05
1.9512,1.95126,6.3364e-05
1.9568,1.95686,6.3364e-05
1.9624,1.96246,6.3364e-05
1.968,1.96806,6.3364e-05
1.9736,1.97366,6.3364e-05
1.9792,1.97926,6.3364e-05
1.9848,1.98486,6.3364e-05
1.9904,1.99046,6.3364e-05
1.996,1.99606,6.3364e-05
2.0016,2.00166,6.3364e-05
2.0072,2.00726,6.3364e-05
2.0128,2.01286,6.3364e-05
2.0184,2.01846,6.3364e-05
2.024,2.02406,6.3364e-05
2.0296,2.02966,6.3364e-05
2.0352,2.03526,6.3364e-05
2.0408,2.04086,6.3364e-05
2.0464,2.04646,6.3364e-05
2.052,2.05206,6.3364e-05
2.0576,2.05766,6.3364e-05
2.0632,2.06326,6.3364e-05
2.0688,2.06886,6.3364e-05
2.0744,2.07446,6.3364e-05
2.08,2.08006,6.3364e-05
2.0856,2.08566,6.3364e-05
2.0912,2.09126,6.3364e-05
2.0968,2.09686,6.3364e-05
2.1024,2.10246,6.3364e-05
2.108,2.10806,6.3364e-05
2.1136,2.11366,6.3364e-05
2.1192,2.11926,6.3364e-05
2.1248,2.12486,6.3364e-05
2.1304,2.13046,6.3364e-05
2.136,2.13606,6.3364e-05
2.1416,2.14166,6.3364e-05
2.1472,2.14726,6.3364e-05
2.1528,2.15286,6.3364e-05
2.1584,2.15846,6.3364e-05
2.164,2.16406,6.3364e-05
