send_time,recv_time,packet_size
1.11202,1.11215,750
1.124,1.12413,750
1.136,1.13613,750
1.148,1.14813,750
1.16,1.16013,750
1.172,1.17213,750
1.184,1.18413,750
1.196,1.19613,750
1.208,1.20813,750
1.22,1.22013,750
1.232,1.23213,750
1.244,1.24413,750
1.256,1.25613,750
1.268,1.26813,750
1.28,1.28013,750
1.292,1.29213,750
1.304,1.30413,750
1.316,1.31613,750
1.328,1.32813,750
1.34,1.34013,750
1.352,1.35213,750
1.364,1.36413,750
1.376,1.37613,750
1.388,1.38813,750
1.4,1.40013,750
1.412,1.41213,750
1.424,1.42413,750
1.436,1.43613,750
1.448,1.44813,750
1.46,1.46013,750
1.472,1.47213,750
1.484,1.48413,750
1.496,1.49613,750
1.508,1.50813,750
1.52,1.52013,750
1.532,1.53213,750
1.544,1.54413,750
1.556,1.55613,750
1.568,1.56813,750
1.58,1.58013,750
1.592,1.59213,750
1.604,1.60413,750
1.616,1.61613,750
1.628,1.62813,750
1.64,1.64013,750
1.652,1.65213,750
1.664,1.66413,750
1.676,1.67613,750
1.688,1.68813,750
1.7,1.70013,750
1.712,1.71213,750
1.724,1.72413,750
1.736,1.73613,750
1.748,1.74813,750
1.76,1.76013,750
1.772,1.77213,750
1.784,1.78413,750
1.796,1.79613,750
1.808,1.80813,750
1.82,1.82013,750
1.832,1.83213,750
1.844,1.84413,750
1.856,1.85613,750
1.868,1.86813,750
1.88,1.88013,750
1.892,1.89213,750
1.904,1.90413,750
1.916,1.91613,750
1.928,1.92813,750
1.94,1.94013,750
1.952,1.95213,750
1.964,1.96413,750
1.976,1.97613,750
1.988,1.98813,750
2,2.00013,750
2.012,2.01213,750
2.024,2.02413,750
2.036,2.03613,750
2.048,2.04813,750
2.06,2.06013,750
2.072,2.07213,750
2.084,2.08413,750
2.096,2.09613,750
2.108,2.10813,750
2.12,2.12013,750
2.132,2.13213,750
2.144,2.14413,750
2.156,2.15613,750
2.168,2.16813,750
2.18,2.18013,750
2.192,2.19213,750
2.204,2.20413,750
2.216,2.21613,750
2.228,2.22813,750
2.24,2.24013,750
2.252,2.25213,750
2.264,2.26413,750
2.276,2.27613,750
2.288,2.28813,750
2.3,2.30013,750
2.312,2.31213,750
2.324,2.32413,750
2.336,2.33613,750
2.348,2.34813,750
2.36,2.36013,750
2.372,2.37213,750
2.384,2.38413,750
2.396,2.39613,750
2.408,2.40813,750
2.42,2.42013,750
2.432,2.43213,750
2.444,2.44413,750
2.456,2.45613,750
2.468,2.46813,750
2.48,2.48013,750
2.492,2.49213,750
2.504,2.50413,750
2.516,2.51613,750
2.528,2.52813,750
2.54,2.54013,750
2.552,2.55213,750
2.564,2.56413,750
2.576,2.57613,750
2.588,2.58813,750
2.6,2.60013,750
2.612,2.61213,750
2.624,2.62413,750
