send_time,recv_time,packet_size
1.10562,1.10569,350
1.1112,1.11126,350
1.1168,1.11686,350
1.1224,1.12246,350
1.128,1.12806,350
1.1336,1.13366,350
1.1392,1.13926,350
1.1448,1.14486,350
1.1504,1.15046,350
1.156,1.15606,350
1.1616,1.16166,350
1.1672,1.16726,350
1.1728,1.17286,350
1.1784,1.17846,350
1.184,1.18406,350
1.1896,1.18966,350
1.1952,1.19526,350
1.2008,1.20086,350
1.2064,1.20646,350
1.212,1.21206,350
1.2176,1.21766,350
1.2232,1.22326,350
1.2288,1.22886,350
1.2344,1.23446,350
1.24,1.24006,350
1.2456,1.24566,350
1.2512,1.25126,350
1.2568,1.25686,350
1.2624,1.26246,350
1.268,1.26806,350
1.2736,1.27366,350
1.2792,1.27926,350
1.2848,1.28486,350
1.2904,1.29046,350
1.296,1.29606,350
1.3016,1.30166,350
1.3072,1.30726,350
1.3128,1.31286,350
1.3184,1.31846,350
1.324,1.32406,350
1.3296,1.32966,350
1.3352,1.33526,350
1.3408,1.34086,350
1.3464,1.34646,350
1.352,1.35206,350
1.3576,1.35766,350
1.3632,1.36326,350
1.3688,1.36886,350
1.3744,1.37446,350
1.38,1.38006,350
1.3856,1.38566,350
1.3912,1.39126,350
1.3968,1.39686,350
1.4024,1.40246,350
1.408,1.40806,350
1.4136,1.41366,350
1.4192,1.41926,350
1.4248,1.42486,350
1.4304,1.43046,350
1.436,1.43606,350
1.4416,1.44166,350
1.4472,1.44726,350
1.4528,1.45286,350
1.4584,1.45846,350
1.464,1.46406,350
1.4696,1.46966,350
1.4752,1.47526,350
1.4808,1.48086,350
1.4864,1.48646,350
1.492,1.49206,350
1.4976,1.49766,350
1.5032,1.50326,350
1.5088,1.50886,350
1.5144,1.51446,350
1.52,1.52006,350
1.5256,1.52566,350
1.5312,1.53126,350
1.5368,1.53686,350
1.5424,1.54246,350
1.548,1.54806,350
1.5536,1.55366,350
1.5592,1.55926,350
1.5648,1.56486,350
1.5704,1.57046,350
1.576,1.57606,350
1.5816,1.58166,350
1.5872,1.58726,350
1.5928,1.59286,350
1.5984,1.59846,350
1.604,1.60406,350
1.6096,1.60966,350
1.6152,1.61526,350
1.6208,1.62086,350
1.6264,1.62646,350
1.632,1.63206,350
1.6376,1.63766,350
1.6432,1.64326,350
1.6488,1.64886,350
1.6544,1.65446,350
1.66,1.66006,350
1.6656,1.66566,350
1.6712,1.67126,350
1.6768,1.67686,350
1.6824,1.68246,350
1.688,1.68806,350
1.6936,1.69366,350
1.6992,1.69926,350
1.7048,1.70486,350
1.7104,1.71046,350
1.716,1.71606,350
1.7216,1.72166,350
1.7272,1.72726,350
1.7328,1.73286,350
1.7384,1.73846,350
1.744,1.74406,350
1.7496,1.74966,350
1.7552,1.75526,350
1.7608,1.76086,350
1.7664,1.76646,350
1.772,1.77206,350
1.7776,1.77766,350
1.7832,1.78326,350
1.7888,1.78886,350
1.7944,1.79446,350
1.8,1.80006,350
1.8056,1.80566,350
1.8112,1.81126,350
1.8168,1.81686,350
1.8224,1.82246,350
1.828,1.82806,350
1.8336,1.83366,350
1.8392,1.83926,350
1.8448,1.84486,350
1.8504,1.85046,350
1.856,1.85606,350
1.8616,1.86166,350
1.8672,1.86726,350
1.8728,1.87286,350
1.8784,1.87846,350
1.884,1.88406,350
1.8896,1.88966,350
1.8952,1.89526,350
1.9008,1.90086,350
1.9064,1.90646,350
1.912,1.91206,350
1.9176,1.91766,350
1.9232,1.92326,350
1.9288,1.92886,350
1.9344,1.93446,350
1.94,1.94006,350
1.9456,1.94566,350
1.9512,1.95126,350
1.9568,1.95686,350
1.9624,1.96246,350
1.968,1.96806,350
1.9736,1.97366,350
1.9792,1.97926,350
1.9848,1.98486,350
1.9904,1.99046,350
1.996,1.99606,350
2.0016,2.00166,350
2.0072,2.00726,350
2.0128,2.01286,350
2.0184,2.01846,350
2.024,2.02406,350
2.0296,2.02966,350
2.0352,2.03526,350
2.0408,2.04086,350
2.0464,2.04646,350
2.052,2.05206,350
2.0576,2.05766,350
2.0632,2.06326,350
2.0688,2.06886,350
2.0744,2.07446,350
2.08,2.08006,350
2.0856,2.08566,350
2.0912,2.09126,350
2.0968,2.09686,350
2.1024,2.10246,350
2.108,2.10806,350
2.1136,2.11366,350
2.1192,2.11926,350
2.1248,2.12486,350
2.1304,2.13046,350
2.136,2.13606,350
2.1416,2.14166,350
2.1472,2.14726,350
2.1528,2.15286,350
2.1584,2.15846,350
2.164,2.16406,350
2.1696,2.16966,350
2.1752,2.17526,350
2.1808,2.18086,350
2.1864,2.18646,350
2.192,2.19206,350
2.1976,2.19766,350
2.2032,2.20326,350
2.2088,2.20886,350
2.2144,2.21446,350
2.22,2.22006,350
2.2256,2.22566,350
2.2312,2.23126,350
2.2368,2.23686,350
2.2424,2.24246,350
2.248,2.24806,350
2.2536,2.25366,350
2.2592,2.25926,350
2.2648,2.26486,350
2.2704,2.27046,350
2.276,2.27606,350
2.2816,2.28166,350
2.2872,2.28726,350
2.2928,2.29286,350
2.2984,2.29846,350
2.304,2.30406,350
2.3096,2.30966,350
2.3152,2.31526,350
2.3208,2.32086,350
2.3264,2.32646,350
2.332,2.33206,350
2.3376,2.33766,350
2.3432,2.34326,350
2.3488,2.34886,350
2.3544,2.35446,350
2.36,2.36006,350
2.3656,2.36566,350
2.3712,2.37126,350
2.3768,2.37686,350
2.3824,2.38246,350
2.388,2.38806,350
2.3936,2.39366,350
2.3992,2.39926,350
2.4048,2.40486,350
2.4104,2.41046,350
2.416,2.41606,350
2.4216,2.42166,350
2.4272,2.42726,350
2.4328,2.43286,350
2.4384,2.43846,350
2.444,2.44406,350
2.4496,2.44966,350
2.4552,2.45526,350
2.4608,2.46086,350
2.4664,2.46646,350
2.472,2.47206,350
2.4776,2.47766,350
2.4832,2.48326,350
2.4888,2.48886,350
2.4944,2.49446,350
2.5,2.50006,350
2.5056,2.50566,350
2.5112,2.51126,350
2.5168,2.51686,350
2.5224,2.52246,350
2.528,2.52806,350
2.5336,2.53366,350
2.5392,2.53926,350
2.5448,2.54486,350
2.5504,2.55046,350
2.556,2.55606,350
2.5616,2.56166,350
2.5672,2.56726,350
2.5728,2.57286,350
2.5784,2.57846,350
2.584,2.58406,350
2.5896,2.58966,350
2.5952,2.59526,350
2.6008,2.60086,350
2.6064,2.60646,350
2.612,2.61206,350
2.6176,2.61766,350
2.6232,2.62326,350
2.6288,2.62886,350
2.6344,2.63446,350
2.64,2.64006,350
